title,image,description
« Brisons les limites des disciplines scientifiques pour permettre aux générations suivantes de voir le monde de façon plus réaliste »,https://img.lemde.fr/2023/03/29/0/0/4253/2835/110/73/60/0/2d85c17_1680106845701-le-monde-tribune-def-01.jpg,"Les chercheurs Bernard Lahire, Arnaud Orain et Marc-André Selosse proposent, dans une tribune au « Monde », trois axes pour rendre les formations plus interdisciplinaires."
"« Pourquoi m’a-t-on laissé me gaver de médocs, pourquoi ne m’a-t-on rien dit ? » : quand opioïdes et benzodiazépines rendent dépendants",https://img.lemde.fr/2024/12/02/0/8/9504/6336/110/73/60/0/ab33243_1733144036434-l1020727.jpg,"Douze millions de personnes en France prennent des opioïdes pour lutter contre la douleur, et quelque 10 millions des benzodiazépines, contre l’anxiété et les troubles du sommeil, avec des risques de mésusage et de dépendance. Un enjeu majeur de santé publique."
« L’Europe doit rassembler les acteurs du spatial pour consolider son économie et étendre son influence mondiale »,https://img.lemde.fr/2024/12/02/0/0/5364/3576/110/73/60/0/d13645b_1733144625902-pns-3602587.jpg,"Josef Aschbacher, directeur général de l’Agence spatiale européenne, rappelle, dans une tribune au « Monde », que le domaine spatial est source d’innovation et de richesse. Pour que l’Europe profite pleinement de son potentiel, l’Europe doit en finir avec le « cloisonnement des esprits, des talents, des budgets et des ambitions »."
"Le crotale fer-de-lance, fragile emblème de la Martinique",https://img.lemde.fr/2024/12/01/0/0/1999/1333/110/73/60/0/2476daa_1733055478828-image0.jpeg,"Autrefois omniprésent sur l’île, jusque sur son drapeau, le serpent a vu sa population s’effondrer. Mais la protection dont il bénéficie depuis 2019 semble porter ses fruits."
"Le Téléthon lance vendredi sa 38ᵉ édition, sur fond de solide espoir pour la myopathie de Duchenne et de besoins financiers décuplés",https://img.lemde.fr/2024/11/29/0/108/5784/3856/110/73/60/0/3b9c314_1732874136685-000-1mw44a.jpg,"Emaillé de plus de 23 000 animations et défis dans toute la France, le marathon télévisuel caritatif a lieu un peu plus tôt qu’à l’accoutumée, le premier week-end de décembre étant consacré à la réouverture de Notre-Dame de Paris."
Un tissu enduit de nanoparticules pour avoir moins chaud au soleil,https://img.lemde.fr/2024/11/22/0/131/1156/771/110/73/60/0/cd1f437_1732285886298-webscie-2445-vetementfroids.png,"Pour transformer des vêtements ordinaires « en outils de rafraîchissement personnel passif », des scientifiques américains les ont enduits de nanoparticules issues de coquilles d’huîtres broyées et d’un produit de contraste pour radiographies gastriques."
"Comment a évolué le recours à l’IVG, cinquante ans après le vote de la loi Veil ?",https://img.lemde.fr/2024/11/28/1/0/8192/5461/110/73/60/0/7c3ee5b_1732812620292-000-32dl7k9.jpg,"Depuis sa promulgation, en 1975, la loi a été assouplie avec l’introduction de la technique médicamenteuse et la possibilité de recourir à l’IVG en dehors des établissements de santé, facilitant l’accès à l’avortement."
Drogues et sexe : ce que l’on sait du « chemsex » en France,https://img.lemde.fr/2024/11/28/0/172/270/180/110/73/60/0/42f480c_1732786440462-8fb4d027-chemsex-drogues-sexe-nouvelles-substances-psychoactives-nps.jpg,"Dans ce post de blog, Marc Gozlan fait le point sur les risques liés à la consommation de substances psychoactives lors de relations sexuelles, un phénomène en augmentation dans notre pays."
"L’exposition « Migrations du vivant » à Bordeaux, un regard sur les animaux et les plantes en mouvement",https://img.lemde.fr/2024/11/26/11/0/3394/2262/110/73/60/0/fc23a0a_1732611226997-belle-dame-msi.jpg,Traverser la Terre ou franchir quelques dizaines de mètres : le Muséum de Bordeaux nous rappelle que le mouvement est consubstantiel à la vie et structure aussi les règnes animal et végétal.
"« Noël au balcon, Pâques au tison » : que disent les statistiques météo du dicton populaire ?",https://img.lemde.fr/2017/12/23/0/0/3000/2000/110/73/60/0/c3b372d_23099-kn4ycf.0b4jh.jpg,Un trio de spécialistes en météorologie s’est demandé si les données collectées depuis 1947 validaient le proverbe selon lequel un Pâques frisquet succède forcément à un Noël plus chaud que la moyenne.
« L’exposition indirecte à des événements catastrophiques génère un stress post-traumatique »,https://img.lemde.fr/2023/04/27/0/0/4253/2835/110/73/60/0/1f3a2c7_1682585728341-4903a4d-1680167844315-le-monde-carte-blanche-def-01.jpg,"Voir de manière régulière des images de guerre provoque des effets néfastes sur la santé mentale, en particulier lorsque les personnes y sont soumises involontairement, souligne, dans sa carte blanche au « Monde », Sylvie Chokron, en s’appuyant sur deux études récentes."
